# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
4.0207e-04 1.1404e-04 -2.6840e-05 4.3739e-05 4.3598e-05 1.5170e-01 3.0306e-01
4.0579e-04 1.1825e-04 -2.7818e-05 4.5366e-05 4.5218e-05 1.5452e-01 3.0869e-01
4.0955e-04 1.2263e-04 -2.8831e-05 4.7053e-05 4.6898e-05 1.5740e-01 3.1443e-01
4.1334e-04 1.2716e-04 -2.9881e-05 4.8803e-05 4.8640e-05 1.6032e-01 3.2027e-01
4.1717e-04 1.3186e-04 -3.0968e-05 5.0618e-05 5.0447e-05 1.6331e-01 3.2621e-01
4.2103e-04 1.3674e-04 -3.2095e-05 5.2500e-05 5.2320e-05 1.6634e-01 3.3227e-01
4.2493e-04 1.4179e-04 -3.3263e-05 5.4452e-05 5.4263e-05 1.6944e-01 3.3845e-01
4.2886e-04 1.4703e-04 -3.4473e-05 5.6477e-05 5.6278e-05 1.7259e-01 3.4473e-01
4.3283e-04 1.5246e-04 -3.5726e-05 5.8577e-05 5.8368e-05 1.7580e-01 3.5113e-01
4.3684e-04 1.5810e-04 -3.7025e-05 6.0754e-05 6.0535e-05 1.7906e-01 3.5765e-01
4.4088e-04 1.6394e-04 -3.8371e-05 6.3013e-05 6.2782e-05 1.8239e-01 3.6430e-01
4.4496e-04 1.6999e-04 -3.9765e-05 6.5354e-05 6.5113e-05 1.8579e-01 3.7106e-01
4.4908e-04 1.7627e-04 -4.1209e-05 6.7783e-05 6.7530e-05 1.8924e-01 3.7795e-01
4.5324e-04 1.8278e-04 -4.2705e-05 7.0302e-05 7.0036e-05 1.9276e-01 3.8497e-01
4.5744e-04 1.8953e-04 -4.4255e-05 7.2915e-05 7.2635e-05 1.9634e-01 3.9212e-01
4.6167e-04 1.9652e-04 -4.5861e-05 7.5624e-05 7.5330e-05 1.9999e-01 3.9940e-01
4.6594e-04 2.0377e-04 -4.7525e-05 7.8433e-05 7.8125e-05 2.0371e-01 4.0682e-01
4.7026e-04 2.1129e-04 -4.9248e-05 8.1347e-05 8.1023e-05 2.0750e-01 4.1437e-01
4.7461e-04 2.1909e-04 -5.1034e-05 8.4369e-05 8.4029e-05 2.1136e-01 4.2206e-01
4.7901e-04 2.2717e-04 -5.2883e-05 8.7503e-05 8.7145e-05 2.1529e-01 4.2990e-01
4.8344e-04 2.3555e-04 -5.4799e-05 9.0752e-05 9.0377e-05 2.1929e-01 4.3788e-01
4.8792e-04 2.4424e-04 -5.6784e-05 9.4123e-05 9.3728e-05 2.2337e-01 4.4601e-01
4.9243e-04 2.5325e-04 -5.8840e-05 9.7618e-05 9.7204e-05 2.2752e-01 4.5429e-01
4.9699e-04 2.6258e-04 -6.0970e-05 1.0124e-04 1.0081e-04 2.3175e-01 4.6272e-01
5.0159e-04 2.7226e-04 -6.3176e-05 1.0500e-04 1.0454e-04 2.3606e-01 4.7131e-01
5.0624e-04 2.8230e-04 -6.5461e-05 1.0890e-04 1.0842e-04 2.4045e-01 4.8006e-01
5.1092e-04 2.9270e-04 -6.7828e-05 1.1294e-04 1.1244e-04 2.4492e-01 4.8897e-01
5.1565e-04 3.0349e-04 -7.0280e-05 1.1713e-04 1.1660e-04 2.4948e-01 4.9805e-01
5.2043e-04 3.1467e-04 -7.2819e-05 1.2148e-04 1.2092e-04 2.5412e-01 5.0729e-01
5.2524e-04 3.2626e-04 -7.5450e-05 1.2599e-04 1.2540e-04 2.5884e-01 5.1670e-01
5.3011e-04 3.3827e-04 -7.8174e-05 1.3066e-04 1.3005e-04 2.6365e-01 5.2629e-01
5.3501e-04 3.5073e-04 -8.0996e-05 1.3551e-04 1.3487e-04 2.6856e-01 5.3606e-01
5.3997e-04 3.6364e-04 -8.3919e-05 1.4054e-04 1.3986e-04 2.7355e-01 5.4601e-01
5.4496e-04 3.7703e-04 -8.6946e-05 1.4575e-04 1.4504e-04 2.7864e-01 5.5614e-01
5.5001e-04 3.9090e-04 -9.0081e-05 1.5116e-04 1.5041e-04 2.8382e-01 5.6646e-01
5.5510e-04 4.0529e-04 -9.3328e-05 1.5676e-04 1.5598e-04 2.8909e-01 5.7697e-01
5.6024e-04 4.2020e-04 -9.6691e-05 1.6258e-04 1.6175e-04 2.9447e-01 5.8768e-01
5.6543e-04 4.3565e-04 -1.0017e-04 1.6861e-04 1.6774e-04 2.9994e-01 5.9858e-01
5.7066e-04 4.5168e-04 -1.0378e-04 1.7486e-04 1.7395e-04 3.0552e-01 6.0968e-01
5.7594e-04 4.6829e-04 -1.0752e-04 1.8134e-04 1.8038e-04 3.1120e-01 6.2099e-01
5.8128e-04 4.8550e-04 -1.1138e-04 1.8806e-04 1.8706e-04 3.1699e-01 6.3251e-01
5.8666e-04 5.0335e-04 -1.1539e-04 1.9503e-04 1.9398e-04 3.2288e-01 6.4425e-01
5.9209e-04 5.2185e-04 -1.1954e-04 2.0226e-04 2.0115e-04 3.2888e-01 6.5620e-01
5.9757e-04 5.4102e-04 -1.2383e-04 2.0976e-04 2.0859e-04 3.3500e-01 6.6837e-01
6.0310e-04 5.6090e-04 -1.2828e-04 2.1753e-04 2.1631e-04 3.4122e-01 6.8076e-01
6.0868e-04 5.8150e-04 -1.3289e-04 2.2559e-04 2.2430e-04 3.4757e-01 6.9339e-01
6.1432e-04 6.0285e-04 -1.3766e-04 2.3395e-04 2.3260e-04 3.5403e-01 7.0625e-01
6.2001e-04 6.2499e-04 -1.4260e-04 2.4261e-04 2.4119e-04 3.6061e-01 7.1934e-01
6.2575e-04 6.4793e-04 -1.4771e-04 2.5160e-04 2.5011e-04 3.6731e-01 7.3268e-01
6.3154e-04 6.7171e-04 -1.5301e-04 2.6092e-04 2.5935e-04 3.7414e-01 7.4627e-01
6.3739e-04 6.9636e-04 -1.5849e-04 2.7058e-04 2.6893e-04 3.8110e-01 7.6010e-01
6.4329e-04 7.2191e-04 -1.6417e-04 2.8060e-04 2.7887e-04 3.8818e-01 7.7420e-01
6.4924e-04 7.4838e-04 -1.7004e-04 2.9098e-04 2.8917e-04 3.9540e-01 7.8855e-01
6.5525e-04 7.7583e-04 -1.7613e-04 3.0176e-04 2.9985e-04 4.0275e-01 8.0317e-01
6.6132e-04 8.0428e-04 -1.8243e-04 3.1292e-04 3.1092e-04 4.1023e-01 8.1805e-01
6.6744e-04 8.3376e-04 -1.8895e-04 3.2451e-04 3.2240e-04 4.1786e-01 8.3322e-01
6.7362e-04 8.6432e-04 -1.9571e-04 3.3651e-04 3.3430e-04 4.2563e-01 8.4866e-01
6.7985e-04 8.9599e-04 -2.0270e-04 3.4897e-04 3.4664e-04 4.3354e-01 8.6439e-01
6.8615e-04 9.2881e-04 -2.0994e-04 3.6188e-04 3.5944e-04 4.4160e-01 8.8041e-01
6.9250e-04 9.6283e-04 -2.1743e-04 3.7527e-04 3.7270e-04 4.4981e-01 8.9672e-01
6.9891e-04 9.9809e-04 -2.2519e-04 3.8915e-04 3.8645e-04 4.5817e-01 9.1334e-01
7.0538e-04 1.0346e-03 -2.3322e-04 4.0354e-04 4.0071e-04 4.6668e-01 9.3026e-01
7.1191e-04 1.0725e-03 -2.4153e-04 4.1846e-04 4.1549e-04 4.7536e-01 9.4750e-01
7.1850e-04 1.1118e-03 -2.5013e-04 4.3393e-04 4.3081e-04 4.8419e-01 9.6505e-01
7.2515e-04 1.1524e-03 -2.5904e-04 4.4998e-04 4.4669e-04 4.9319e-01 9.8293e-01
7.3187e-04 1.1946e-03 -2.6826e-04 4.6661e-04 4.6316e-04 5.0236e-01 1.0011e+00
7.3864e-04 1.2383e-03 -2.7780e-04 4.8386e-04 4.8023e-04 5.1169e-01 1.0197e+00
7.4548e-04 1.2835e-03 -2.8768e-04 5.0174e-04 4.9793e-04 5.2120e-01 1.0386e+00
7.5238e-04 1.3305e-03 -2.9791e-04 5.2028e-04 5.1628e-04 5.3089e-01 1.0578e+00
7.5935e-04 1.3791e-03 -3.0849e-04 5.3950e-04 5.3530e-04 5.4076e-01 1.0774e+00
7.6638e-04 1.4295e-03 -3.1944e-04 5.5944e-04 5.5502e-04 5.5081e-01 1.0973e+00
7.7347e-04 1.4817e-03 -3.3078e-04 5.8010e-04 5.7546e-04 5.6104e-01 1.1176e+00
7.8063e-04 1.5358e-03 -3.4251e-04 6.0152e-04 5.9665e-04 5.7147e-01 1.1383e+00
7.8786e-04 1.5919e-03 -3.5465e-04 6.2374e-04 6.1862e-04 5.8209e-01 1.1594e+00
7.9515e-04 1.6500e-03 -3.6722e-04 6.4677e-04 6.4139e-04 5.9291e-01 1.1809e+00
8.0251e-04 1.7102e-03 -3.8022e-04 6.7065e-04 6.6499e-04 6.0393e-01 1.2027e+00
8.0994e-04 1.7726e-03 -3.9368e-04 6.9541e-04 6.8946e-04 6.1515e-01 1.2250e+00
8.1744e-04 1.8373e-03 -4.0760e-04 7.2108e-04 7.1483e-04 6.2658e-01 1.2477e+00
8.2501e-04 1.9043e-03 -4.2201e-04 7.4769e-04 7.4112e-04 6.3822e-01 1.2707e+00
8.3265e-04 1.9737e-03 -4.3692e-04 7.7528e-04 7.6838e-04 6.5008e-01 1.2942e+00
8.4035e-04 2.0456e-03 -4.5235e-04 8.0389e-04 7.9663e-04 6.6216e-01 1.3182e+00
8.4813e-04 2.1202e-03 -4.6832e-04 8.3354e-04 8.2592e-04 6.7447e-01 1.3426e+00
8.5599e-04 2.1974e-03 -4.8484e-04 8.6429e-04 8.5628e-04 6.8700e-01 1.3674e+00
8.6391e-04 2.2774e-03 -5.0193e-04 8.9616e-04 8.8775e-04 6.9977e-01 1.3927e+00
8.7191e-04 2.3604e-03 -5.1962e-04 9.2921e-04 9.2037e-04 7.1277e-01 1.4185e+00
8.7998e-04 2.4463e-03 -5.3791e-04 9.6347e-04 9.5418e-04 7.2601e-01 1.4447e+00
8.8813e-04 2.5353e-03 -5.5685e-04 9.9899e-04 9.8923e-04 7.3950e-01 1.4714e+00
8.9635e-04 2.6275e-03 -5.7643e-04 1.0358e-03 1.0256e-03 7.5324e-01 1.4986e+00
9.0465e-04 2.7231e-03 -5.9669e-04 1.0740e-03 1.0632e-03 7.6723e-01 1.5263e+00
9.1302e-04 2.8221e-03 -6.1765e-04 1.1136e-03 1.1022e-03 7.8149e-01 1.5545e+00
9.2147e-04 2.9247e-03 -6.3934e-04 1.1546e-03 1.1427e-03 7.9601e-01 1.5832e+00
