# k[h/Mpc]   R1   R2 
# 
2.8889e-03 5.3997e+00 -1.3190e+00
2.9156e-03 5.5406e+00 -1.3530e+00
2.9426e-03 5.6851e+00 -1.3878e+00
2.9699e-03 5.8332e+00 -1.4235e+00
2.9974e-03 5.9850e+00 -1.4601e+00
3.0251e-03 6.1407e+00 -1.4976e+00
3.0531e-03 6.3003e+00 -1.5360e+00
3.0814e-03 6.4639e+00 -1.5754e+00
3.1099e-03 6.6317e+00 -1.6157e+00
3.1387e-03 6.8037e+00 -1.6570e+00
3.1677e-03 6.9800e+00 -1.6993e+00
3.1971e-03 7.1607e+00 -1.7427e+00
3.2267e-03 7.3460e+00 -1.7871e+00
3.2565e-03 7.5358e+00 -1.8327e+00
3.2867e-03 7.7305e+00 -1.8793e+00
3.3171e-03 7.9300e+00 -1.9271e+00
3.3478e-03 8.1345e+00 -1.9760e+00
3.3788e-03 8.3440e+00 -2.0261e+00
3.4101e-03 8.5588e+00 -2.0775e+00
3.4417e-03 8.7789e+00 -2.1301e+00
3.4735e-03 9.0045e+00 -2.1839e+00
3.5057e-03 9.2357e+00 -2.2391e+00
3.5381e-03 9.4726e+00 -2.2956e+00
3.5709e-03 9.7154e+00 -2.3534e+00
3.6039e-03 9.9642e+00 -2.4127e+00
3.6373e-03 1.0219e+01 -2.4733e+00
3.6710e-03 1.0480e+01 -2.5355e+00
3.7050e-03 1.0748e+01 -2.5991e+00
3.7393e-03 1.1022e+01 -2.6642e+00
3.7739e-03 1.1303e+01 -2.7309e+00
3.8088e-03 1.1591e+01 -2.7991e+00
3.8441e-03 1.1886e+01 -2.8690e+00
3.8797e-03 1.2188e+01 -2.9406e+00
3.9156e-03 1.2497e+01 -3.0138e+00
3.9518e-03 1.2814e+01 -3.0887e+00
3.9884e-03 1.3138e+01 -3.1655e+00
4.0253e-03 1.3471e+01 -3.2440e+00
4.0626e-03 1.3811e+01 -3.3244e+00
4.1002e-03 1.4160e+01 -3.4066e+00
4.1382e-03 1.4517e+01 -3.4908e+00
4.1765e-03 1.4883e+01 -3.5770e+00
4.2151e-03 1.5258e+01 -3.6651e+00
4.2542e-03 1.5642e+01 -3.7553e+00
4.2935e-03 1.6035e+01 -3.8476e+00
4.3333e-03 1.6437e+01 -3.9420e+00
4.3734e-03 1.6849e+01 -4.0387e+00
4.4139e-03 1.7271e+01 -4.1375e+00
4.4548e-03 1.7702e+01 -4.2386e+00
4.4960e-03 1.8145e+01 -4.3420e+00
4.5376e-03 1.8597e+01 -4.4478e+00
4.5796e-03 1.9061e+01 -4.5561e+00
4.6220e-03 1.9535e+01 -4.6668e+00
4.6648e-03 2.0021e+01 -4.7800e+00
4.7080e-03 2.0518e+01 -4.8957e+00
4.7516e-03 2.1026e+01 -5.0141e+00
4.7956e-03 2.1547e+01 -5.1352e+00
4.8400e-03 2.2080e+01 -5.2590e+00
4.8848e-03 2.2626e+01 -5.3856e+00
4.9300e-03 2.3184e+01 -5.5150e+00
4.9756e-03 2.3755e+01 -5.6473e+00
5.0217e-03 2.4340e+01 -5.7826e+00
5.0682e-03 2.4938e+01 -5.9208e+00
5.1151e-03 2.5550e+01 -6.0621e+00
5.1625e-03 2.6176e+01 -6.2066e+00
5.2102e-03 2.6817e+01 -6.3542e+00
5.2585e-03 2.7472e+01 -6.5051e+00
5.3072e-03 2.8142e+01 -6.6593e+00
5.3563e-03 2.8828e+01 -6.8168e+00
5.4059e-03 2.9530e+01 -6.9778e+00
5.4559e-03 3.0247e+01 -7.1423e+00
5.5064e-03 3.0981e+01 -7.3104e+00
5.5574e-03 3.1732e+01 -7.4821e+00
5.6089e-03 3.2500e+01 -7.6575e+00
5.6608e-03 3.3285e+01 -7.8366e+00
5.7132e-03 3.4088e+01 -8.0197e+00
5.7661e-03 3.4909e+01 -8.2066e+00
5.8195e-03 3.5748e+01 -8.3976e+00
5.8733e-03 3.6607e+01 -8.5926e+00
5.9277e-03 3.7484e+01 -8.7917e+00
5.9826e-03 3.8382e+01 -8.9950e+00
6.0380e-03 3.9299e+01 -9.2026e+00
6.0939e-03 4.0236e+01 -9.4145e+00
6.1503e-03 4.1194e+01 -9.6308e+00
6.2072e-03 4.2174e+01 -9.8515e+00
6.2647e-03 4.3174e+01 -1.0077e+01
6.3227e-03 4.4197e+01 -1.0307e+01
6.3812e-03 4.5241e+01 -1.0541e+01
6.4403e-03 4.6309e+01 -1.0781e+01
6.4999e-03 4.7399e+01 -1.1025e+01
6.5601e-03 4.8512e+01 -1.1274e+01
6.6208e-03 4.9650e+01 -1.1528e+01
6.6821e-03 5.0812e+01 -1.1787e+01
6.7440e-03 5.1999e+01 -1.2052e+01
6.8064e-03 5.3211e+01 -1.2321e+01
6.8694e-03 5.4449e+01 -1.2596e+01
6.9330e-03 5.5713e+01 -1.2877e+01
6.9972e-03 5.7004e+01 -1.3163e+01
7.0619e-03 5.8323e+01 -1.3454e+01
7.1273e-03 5.9670e+01 -1.3752e+01
7.1933e-03 6.1045e+01 -1.4055e+01
