# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
3.9725e-01 1.3712e+02 1.4206e+01 1.0065e+01 3.7128e+02 2.1972e+02 5.9406e+01 4.7875e+01 9.0920e+01 -1.8645e+01 -8.7658e+00 2.5791e+01 2.5197e+01 0.0000e+00 0.0000e+00
4.3071e-01 1.1737e+02 1.2723e+01 9.4165e+00 3.2478e+02 1.9465e+02 5.6206e+01 4.4196e+01 8.5892e+01 -1.7520e+01 -8.1477e+00 2.2694e+01 2.2864e+01 0.0000e+00 0.0000e+00
4.6699e-01 1.0046e+02 1.1328e+01 8.7366e+00 2.8413e+02 1.7254e+02 5.2925e+01 4.0689e+01 8.0803e+01 -1.6414e+01 -7.5420e+00 1.9936e+01 2.0713e+01 0.0000e+00 0.0000e+00
5.0632e-01 8.5892e+01 1.0015e+01 8.0376e+00 2.4832e+02 1.5286e+02 4.9596e+01 3.7362e+01 7.5701e+01 -1.5333e+01 -6.9523e+00 1.7488e+01 1.8735e+01 0.0000e+00 0.0000e+00
5.4897e-01 7.3364e+01 8.7850e+00 7.3292e+00 2.1680e+02 1.3537e+02 4.6260e+01 3.4219e+01 7.0640e+01 -1.4286e+01 -6.3841e+00 1.5320e+01 1.6918e+01 0.0000e+00 0.0000e+00
5.9521e-01 6.2606e+01 7.6388e+00 6.6206e+00 1.8907e+02 1.1982e+02 4.2946e+01 3.1263e+01 6.5661e+01 -1.3277e+01 -5.8405e+00 1.3404e+01 1.5253e+01 0.0000e+00 0.0000e+00
6.4535e-01 5.3365e+01 6.5751e+00 5.9194e+00 1.6463e+02 1.0597e+02 3.9682e+01 2.8493e+01 6.0801e+01 -1.2311e+01 -5.3237e+00 1.1713e+01 1.3731e+01 0.0000e+00 0.0000e+00
6.9971e-01 4.5432e+01 5.5922e+00 5.2324e+00 1.4309e+02 9.3624e+01 3.6491e+01 2.5909e+01 5.6089e+01 -1.1390e+01 -4.8355e+00 1.0224e+01 1.2341e+01 0.0000e+00 0.0000e+00
7.5865e-01 3.8623e+01 4.6885e+00 4.5654e+00 1.2410e+02 8.2609e+01 3.3392e+01 2.3504e+01 5.1547e+01 -1.0515e+01 -4.3766e+00 8.9135e+00 1.1075e+01 0.0000e+00 0.0000e+00
8.2255e-01 3.2779e+01 3.8621e+00 3.9241e+00 1.0733e+02 7.2771e+01 3.0400e+01 2.1276e+01 4.7195e+01 -9.6867e+00 -3.9471e+00 7.7620e+00 9.9228e+00 0.0000e+00 0.0000e+00
8.9184e-01 2.7764e+01 3.1109e+00 3.3134e+00 9.2537e+01 6.3977e+01 2.7527e+01 1.9215e+01 4.3045e+01 -8.9032e+00 -3.5469e+00 6.7511e+00 8.8760e+00 0.0000e+00 0.0000e+00
9.6696e-01 2.3461e+01 2.4333e+00 2.7383e+00 7.9478e+01 5.6110e+01 2.4784e+01 1.7316e+01 3.9105e+01 -8.1637e+00 -3.1753e+00 5.8643e+00 7.9265e+00 0.0000e+00 0.0000e+00
1.0484e+00 1.9770e+01 1.8276e+00 2.2033e+00 6.7958e+01 4.9070e+01 2.2180e+01 1.5570e+01 3.5381e+01 -7.4667e+00 -2.8314e+00 5.0869e+00 7.0662e+00 0.0000e+00 0.0000e+00
